Date,Open,High,Low,Close,Adj Close,Volume
9/25/2019,218.550003,221.5,217.139999,221.029999,219.846634,21903400
9/26/2019,220,220.940002,218.830002,219.889999,218.712738,18833500
9/27/2019,220.539993,220.960007,217.279999,218.820007,217.648483,25352000
9/30/2019,220.899994,224.580002,220.789993,223.970001,222.770889,25977400
10/1/2019,225.070007,228.220001,224.199997,224.589996,223.387573,34805800
10/2/2019,223.059998,223.580002,217.929993,218.960007,217.78772,34612300
10/3/2019,218.429993,220.960007,215.130005,220.820007,219.637756,28606500
10/4/2019,225.639999,227.490005,223.889999,227.009995,225.794617,34619700
10/7/2019,226.270004,229.929993,225.839996,227.059998,225.844345,30576500
10/8/2019,225.820007,228.059998,224.330002,224.399994,223.198593,27955000
10/9/2019,227.029999,227.789993,225.639999,227.029999,225.814514,18692600
10/10/2019,227.929993,230.440002,227.300003,230.089996,228.858124,28253400
10/11/2019,232.949997,237.639999,232.309998,236.210007,234.945358,41698900
10/14/2019,234.899994,238.130005,234.669998,235.869995,234.607178,24106900
10/15/2019,236.389999,237.649994,234.880005,235.320007,234.060135,21840000
10/16/2019,233.369995,235.240005,233.199997,234.369995,233.115204,18475800
10/17/2019,235.089996,236.149994,233.520004,235.279999,234.02034,16896300
10/18/2019,234.589996,237.580002,234.289993,236.410004,235.144302,24358400
10/21/2019,237.520004,240.990005,237.320007,240.509995,239.222336,21811800
10/22/2019,241.160004,242.199997,239.619995,239.960007,238.675293,20573400
10/23/2019,242.100006,243.240005,241.220001,243.179993,241.878036,18957200
10/24/2019,244.509995,244.800003,241.809998,243.580002,242.275894,17318800
10/25/2019,243.160004,246.729996,242.880005,246.580002,245.259842,18369300
10/28/2019,247.419998,249.25,246.720001,249.050003,247.716614,24143200
10/29/2019,248.970001,249.75,242.570007,243.289993,241.987442,35709900
10/30/2019,244.759995,245.300003,241.210007,243.259995,241.957611,31130500
10/31/2019,247.240005,249.169998,237.259995,248.759995,247.428162,34790500
11/1/2019,249.539993,255.929993,249.160004,255.820007,254.450378,37781300
11/4/2019,257.329987,257.850006,255.380005,257.5,256.121368,25818000
11/5/2019,257.049988,258.190002,256.320007,257.130005,255.753372,19974400
11/6/2019,256.769989,257.48999,255.369995,257.23999,255.862762,18966100
11/7/2019,258.73999,260.350006,258.109985,259.429993,258.815735,23735100
11/8/2019,258.690002,260.440002,256.850006,260.140015,259.524078,17496600
11/11/2019,258.299988,262.470001,258.279999,262.200012,261.579193,20455300
11/12/2019,261.549988,262.790009,260.920013,261.959991,261.339752,21847200
11/13/2019,261.130005,264.779999,261.070007,264.470001,263.843811,25683600
11/14/2019,263.75,264.880005,262.100006,262.640015,262.018158,22295700
11/15/2019,263.679993,265.779999,263.01001,265.76001,265.130768,25051600
11/18/2019,265.799988,267.429993,264.230011,267.100006,266.46759,21675800
11/19/2019,267.899994,268,265.390015,266.290009,265.659515,19041800
11/20/2019,265.540009,266.079987,260.399994,263.190002,262.566864,26558600
11/21/2019,263.690002,264.01001,261.179993,262.01001,261.389648,30348800
11/22/2019,262.589996,263.179993,260.839996,261.779999,261.160187,16331300
11/25/2019,262.709991,266.440002,262.519989,266.369995,265.739319,21005100
11/26/2019,266.940002,267.160004,262.5,264.290009,263.664246,26301900
11/27/2019,265.579987,267.980011,265.309998,267.839996,267.205841,16308900
11/29/2019,266.600006,268,265.899994,267.25,266.617249,11654400
12/2/2019,267.269989,268.25,263.450012,264.160004,263.534546,23621800
12/3/2019,258.309998,259.529999,256.290009,259.450012,258.835724,28607600
12/4/2019,261.070007,263.309998,260.679993,261.73999,261.12027,16795400
12/5/2019,263.790009,265.890015,262.730011,265.579987,264.951172,18606100
12/6/2019,267.480011,271,267.299988,270.709991,270.069031,26518900
12/9/2019,270,270.799988,264.910004,266.920013,266.288025,32010600
12/10/2019,268.600006,270.070007,265.859985,268.480011,267.84433,22605100
12/11/2019,268.809998,271.100006,268.5,270.769989,270.128906,19689200
12/12/2019,267.779999,272.559998,267.320007,271.459991,270.817261,34327600
12/13/2019,271.459991,275.299988,270.929993,275.149994,274.498535,33396900
12/16/2019,277,280.790009,276.980011,279.859985,279.197357,32046500
12/17/2019,279.570007,281.769989,278.799988,280.410004,279.746094,28539600
12/18/2019,279.799988,281.899994,279.119995,279.73999,279.077667,29007100
12/19/2019,279.5,281.179993,278.950012,280.019989,279.356995,24592300
12/20/2019,282.230011,282.649994,278.559998,279.440002,278.778381,68994500
12/23/2019,280.529999,284.25,280.369995,284,283.327576,24643000
12/24/2019,284.690002,284.890015,282.920013,284.269989,283.596924,12119700
12/26/2019,284.820007,289.980011,284.700012,289.910004,289.223602,23280300
12/27/2019,291.119995,293.970001,288.119995,289.799988,289.113831,36566500
12/30/2019,289.459991,292.690002,285.220001,291.519989,290.829773,36028600
12/31/2019,289.929993,293.679993,289.519989,293.649994,292.954712,25201400
1/2/2020,296.23999,300.600006,295.190002,300.350006,299.638885,33870100
1/3/2020,297.149994,300.579987,296.5,297.429993,296.725769,36580700
1/6/2020,293.790009,299.959991,292.75,299.799988,299.090149,29596800
1/7/2020,299.839996,300.899994,297.480011,298.390015,297.683533,27218000
1/8/2020,297.160004,304.440002,297.160004,303.190002,302.472137,33019800
1/9/2020,307.23999,310.429993,306.200012,309.630005,308.896912,42527100
1/10/2020,310.600006,312.670013,308.25,310.329987,309.595215,35161200
1/13/2020,311.640015,317.070007,311.149994,316.959991,316.209534,30383000
1/14/2020,316.700012,317.570007,312.170013,312.679993,311.939667,40488600
1/15/2020,311.850006,315.5,309.549988,311.339996,310.602844,30480900
1/16/2020,313.589996,315.700012,312.089996,315.23999,314.493591,27207300
1/17/2020,316.269989,318.73999,315,318.730011,317.975372,34454100
1/21/2020,317.190002,319.019989,316,316.570007,315.820465,27710800
1/22/2020,318.579987,319.98999,317.309998,317.700012,316.947815,25458100
1/23/2020,317.920013,319.559998,315.649994,319.230011,318.474182,26118000
1/24/2020,320.25,323.329987,317.519989,318.309998,317.556335,36634400
1/27/2020,310.059998,311.769989,304.880005,308.950012,308.218506,40485000
1/28/2020,312.600006,318.399994,312.190002,317.690002,316.937805,40558500
1/29/2020,324.450012,327.850006,321.380005,324.339996,323.572052,54057300
1/30/2020,320.540009,324.089996,318.75,323.869995,323.10318,31685800
1/31/2020,320.929993,322.679993,308.290009,309.51001,308.777191,49897100
2/3/2020,304.299988,313.48999,302.220001,308.660004,307.929199,43496400
