Period,Short_Desc
Today,Mostly Sunny
Tonight,IncreasingClouds
Wednesday,Mostly Cloudy
WednesdayNight,Mostly Cloudy
Thursday,Mostly Sunny
ThursdayNight,Partly Cloudy
Friday,Partly Sunny
FridayNight,
Saturday,Sunny
