,Period,Short_Desc,Temp
0,Today,Mostly Sunny,High: 54 °F
1,Tonight,ShowersLikely,Low: 43 °F
2,Wednesday,ShowersLikely thenSlight ChanceShowers,High: 51 °F
3,WednesdayNight,Partly Cloudythen SlightChanceShowers,Low: 40 °F
4,Thursday,Partly Sunnythen SlightChanceShowers,High: 50 °F
5,ThursdayNight,Partly Cloudy,Low: 38 °F
6,Friday,Mostly Sunnythen ChanceShowers,High: 53 °F
7,FridayNight,ChanceShowers,Low: 43 °F
8,Saturday,Mostly Sunny,High: 53 °F
